Row ID,Order ID,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Base Margin,Order Date,Customer Name,Product Name,Ship Date
127.0,807.0,Medium,45.0,196.85,0.01,Regular Air,-166.85,4.28,6.18,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Small Box,0.4,11/23/2010,Neola Schneider,Xerox 1980,11/24/2010
128.0,807.0,Medium,32.0,124.56,0.04,Regular Air,-14.33,3.95,2.0,Nunavut,Nunavut,Home Office,Office Supplies,Rubber Bands,Wrap Bag,0.53,11/23/2010,Neola Schneider,Advantus Map Pennant Flags and Round Head Tacks,11/24/2010
134.0,868.0,Not Specified,32.0,716.84,0.0,Regular Air,134.72,21.78,5.94,Nunavut,Nunavut,Home Office,Office Supplies,Appliances,Medium Box,0.5,6/8/2012,Carlos Daly,Holmes HEPA Air Purifier,6/9/2012
135.0,868.0,Not Specified,31.0,1474.33,0.04,Regular Air,114.46,47.98,3.61,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,Small Pack,0.71,6/8/2012,Carlos Daly,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",6/10/2012
149.0,933.0,Not Specified,15.0,80.61,0.02,Regular Air,-4.72,5.28,2.99,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,0.37,8/4/2012,Claudia Miner,"Wilson Jones 1"" Hanging DublLock Ring Binders",8/4/2012
160.0,995.0,Medium,46.0,1815.49,0.03,Regular Air,782.91,39.89,3.04,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,Wrap Bag,0.53,5/30/2011,Neola Schneider,Ultra Commercial Grade Dual Valve Door Closer,5/31/2011
161.0,998.0,Not Specified,16.0,248.26,0.07,Regular Air,93.8,15.74,1.39,Nunavut,Nunavut,Small Business,Office Supplies,Envelopes,Small Box,0.4,11/25/2009,Allen Rosenblatt,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",11/26/2009
175.0,1154.0,Critical,44.0,4462.23,0.04,Delivery Truck,440.72,100.98,26.22,Nunavut,Nunavut,Home Office,Furniture,Bookcases,Jumbo Box,0.6,2/14/2012,Sylvia Foulston,Hon 4-Shelf Metal Bookcases,2/16/2012
176.0,1154.0,Critical,11.0,663.784,0.25,Regular Air,-481.04,71.37,69.0,Nunavut,Nunavut,Home Office,Furniture,Tables,Large Box,0.68,2/14/2012,Sylvia Foulston,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",2/16/2012
203.0,1344.0,Low,15.0,834.904,0.06,Regular Air,-11.68,65.99,5.26,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,Small Box,0.59,4/15/2012,Jim Radford,g520,4/22/2012
204.0,1344.0,Low,18.0,2480.9205,0.01,Regular Air,313.58,155.99,8.99,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,Small Box,0.58,4/15/2012,Jim Radford,LX 788,4/19/2012
213.0,1412.0,Not Specified,13.0,59.03,0.1,Express Air,26.92,3.69,0.5,Nunavut,Nunavut,Consumer,Office Supplies,Labels,Small Box,0.38,3/12/2010,Carlos Soltero,Avery 52,3/14/2010
214.0,1412.0,Not Specified,21.0,97.48,0.05,Regular Air,-5.77,4.71,0.7,Nunavut,Nunavut,Consumer,Office Supplies,Rubber Bands,Wrap Bag,0.8,3/12/2010,Carlos Soltero,Plymouth Boxed Rubber Bands by Plymouth,3/14/2010
229.0,1539.0,Low,33.0,511.83,0.1,Regular Air,-172.88,15.99,13.18,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0.37,3/9/2011,Carl Ludwig,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",3/11/2011
230.0,1539.0,Low,38.0,184.99,0.05,Regular Air,-144.55,4.89,4.93,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,Small Pack,0.66,3/9/2011,Carl Ludwig,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",3/14/2011
231.0,1540.0,High,30.0,80.9,0.09,Regular Air,5.76,2.88,0.7,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56,8/4/2012,Don Miller,Newell 335,8/6/2012
249.0,1702.0,High,23.0,67.24,0.06,Regular Air,4.9,2.84,0.93,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,0.54,5/6/2011,Annie Cyprus,SANFORD Liquid Accent Tank-Style Highlighters,5/7/2011
250.0,1761.0,High,25.0,12028.23,0.01,Delivery Truck,-547.61,449.99,49.0,Nunavut,Nunavut,Corporate,Technology,Copiers and Fax,Jumbo Drum,0.38,12/23/2010,Carl Ludwig,Canon PC940 Copier,12/25/2010
256.0,1792.0,Low,28.0,370.48,0.04,Regular Air,-5.45,13.48,4.51,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,Small Box,0.59,11/8/2010,Carlos Soltero,"Tenex Personal Project File with Scoop Front Design, Black",11/13/2010
330.0,2275.0,Not Specified,49.0,278.0,0.08,Regular Air,41.67,6.08,1.17,Nunavut,Nunavut,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56,10/21/2012,Grant Carroll,Col-Erase Pencils with Erasers,10/22/2012
331.0,2277.0,Not Specified,10.0,66.54,0.01,Regular Air,-46.03,5.98,4.38,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,Small Pack,0.75,1/1/2011,Don Miller,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",1/2/2011
332.0,2277.0,Not Specified,21.0,845.32,0.06,Regular Air,33.67,40.99,19.99,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Small Box,0.36,1/1/2011,Don Miller,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",1/3/2011
362.0,2532.0,High,39.0,282.07,0.03,Regular Air,140.01,7.31,0.49,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Small Box,0.38,10/10/2011,Alan Barnes,Self-Adhesive Address Labels for Typewriters by Universal,10/11/2011
363.0,2532.0,High,24.0,426.037,0.01,Regular Air,-78.96,20.99,2.5,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,Wrap Bag,0.81,10/10/2011,Alan Barnes,Accessory37,10/11/2011
381.0,2631.0,Low,27.0,1078.49,0.08,Regular Air,252.66,40.96,1.99,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,Small Pack,0.55,9/23/2010,Jack Garza,Fuji 5.2GB DVD-RAM,9/25/2010
406.0,2757.0,Critical,39.0,3554.46,0.07,Delivery Truck,-1766.01,95.95,74.35,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,0.57,7/19/2011,Julia West,Bevis Steel Folding Chairs,7/19/2011
413.0,2791.0,High,47.0,191.67,0.0,Regular Air,-236.27,3.89,7.01,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0.37,10/9/2009,Eugene Barchas,Avery Binder Labels,10/9/2009
414.0,2791.0,High,49.0,5586.33,0.09,Delivery Truck,80.44,120.98,30.0,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,0.64,10/9/2009,Eugene Barchas,Hon Every-Day Chair Series Swivel Task Chairs,10/11/2009
415.0,2791.0,High,18.0,507.64,0.1,Regular Air,118.94,30.98,5.76,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Small Box,0.4,10/9/2009,Eugene Barchas,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",10/10/2009
440.0,2976.0,Not Specified,30.0,14223.82,0.09,Delivery Truck,3424.22,500.98,26.0,Nunavut,Nunavut,Consumer,Furniture,Chairs & Chairmats,Jumbo Drum,0.6,12/9/2010,Edward Hooks,Global Troy Executive Leather Low-Back Tilter,12/11/2010
471.0,3232.0,Critical,5.0,42.66,0.06,Regular Air,-11.83,7.84,4.71,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,0.35,10/8/2012,Brad Eason,XtraLife ClearVue Slant-D Ring Binders by Cardinal,10/10/2012
513.0,3524.0,High,21.0,427.32,0.0,Regular Air,52.35,18.97,9.03,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Small Box,0.37,5/2/2012,Nicole Hansen,Computer Printout Paper with Letter-Trim Perforations,5/3/2012
577.0,3908.0,Medium,8.0,820.284,0.0,Regular Air,-180.2,115.99,2.5,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,Small Box,0.57,3/8/2010,Dorothy Wardle,6160,3/8/2010
606.0,4132.0,Not Specified,5.0,14.76,0.01,Regular Air,1.32,2.88,0.5,Nunavut,Nunavut,Corporate,Office Supplies,Labels,Small Box,0.36,5/28/2011,Aaron Bergman,Avery 49,5/30/2011
656.0,4612.0,Medium,9.0,89.55,0.06,Regular Air,-375.64,4.48,49.0,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,Large Box,0.6,9/19/2010,Jim Radford,Hoover Portapower Portable Vacuum,9/21/2010
669.0,4676.0,High,11.0,1210.0515,0.04,Regular Air,-104.25,125.99,7.69,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Small Box,0.58,8/31/2011,Annie Cyprus,Timeport L7089,9/1/2011
670.0,4676.0,High,50.0,187.83,0.03,Regular Air,85.96,3.75,0.5,Nunavut,Nunavut,Home Office,Office Supplies,Labels,Small Box,0.37,8/31/2011,Annie Cyprus,Avery 510,9/2/2011
671.0,4676.0,High,3.0,49.59,0.07,Express Air,-8.38,12.28,6.47,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Small Box,0.38,8/31/2011,Annie Cyprus,Xerox 1881,9/2/2011
672.0,4676.0,High,30.0,4253.009,0.01,Regular Air,1115.69,155.99,8.99,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Small Box,0.58,8/31/2011,Annie Cyprus,LX 788,9/1/2011
734.0,5284.0,Not Specified,7.0,59.38,0.1,Regular Air,-3.05,8.69,2.99,Nunavut,Nunavut,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,0.39,7/8/2011,Annie Cyprus,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",7/10/2011
735.0,5316.0,Critical,42.0,1285.37,0.1,Regular Air,514.07,31.78,1.99,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,Small Pack,0.42,1/30/2009,Clay Rozendal,"Memorex 4.7GB DVD-RAM, 3/Pack",2/1/2009
755.0,5409.0,Low,11.0,48.91,0.01,Regular Air,-7.04,3.98,2.97,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Wrap Bag,0.35,1/8/2012,Don Jones,Unpadded Memo Slips,1/13/2012
769.0,5506.0,Critical,22.0,129.62,0.05,Regular Air,4.41,5.88,3.04,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Wrap Bag,0.36,11/7/2010,Beth Thompson,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",11/8/2010
782.0,5569.0,Not Specified,12.0,118.97,0.09,Regular Air,-0.06,9.65,6.22,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,Small Box,0.55,4/29/2010,Frank Price,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",5/1/2010
786.0,5607.0,Not Specified,8.0,61.8715,0.0,Regular Air,-50.33,7.99,5.03,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Medium Box,0.6,12/31/2011,Michelle Lonsdale,Bell Sonecor JB700 Caller ID,1/3/2012
817.0,5894.0,High,7.0,384.33,0.1,Regular Air,87.68,58.1,1.49,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0.38,8/12/2009,Ann Chong,Avery Arch Ring Binders,8/13/2009
818.0,5894.0,High,3.0,239.03,0.01,Regular Air,-68.22,80.48,4.5,Nunavut,Nunavut,Corporate,Office Supplies,Appliances,Small Box,0.55,8/12/2009,Ann Chong,APC 7 Outlet Network SurgeArrest Surge Protector,8/15/2009
821.0,5925.0,Low,44.0,3922.42,0.08,Regular Air,-354.9,92.23,39.61,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,Medium Box,0.67,11/12/2011,Joy Bell,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",11/19/2011
822.0,5925.0,Low,25.0,1733.3625,0.07,Regular Air,-267.01,85.99,0.99,Nunavut,Nunavut,Home Office,Technology,Telephones and Communication,Wrap Bag,0.85,11/12/2011,Joy Bell,Accessory4,11/19/2011
839.0,6016.0,High,19.0,208.28,0.07,Regular Air,3.63,11.48,5.43,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Small Box,0.36,1/20/2012,Skye Norling,Personal Creations Ink Jet Cards and Labels,1/20/2012
853.0,6116.0,Medium,6.0,9620.82,0.04,Regular Air,-1759.58,1637.53,24.49,Nunavut,Nunavut,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Medium Box,0.81,3/20/2009,Barry Weirich,High Speed Automatic Electric Letter Opener,3/22/2009
863.0,6182.0,Low,40.0,255.48,0.04,Regular Air,-116.79,6.48,6.65,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Small Box,0.36,7/21/2012,Grant Carroll,Xerox 1966,7/28/2012
864.0,6182.0,Low,18.0,130.32,0.04,Express Air,-67.28,6.48,7.86,Nunavut,Nunavut,Corporate,Office Supplies,Paper,Small Box,0.37,7/21/2012,Grant Carroll,Xerox 213,7/25/2012
911.0,6535.0,Critical,11.0,312.36,0.07,Express Air,-19.33,28.15,8.99,Nunavut,Nunavut,Corporate,Office Supplies,Pens & Art Supplies,Small Pack,0.57,6/12/2012,Adrian Hane,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",6/15/2012
950.0,6884.0,Low,41.0,217.0,0.01,Regular Air,-61.21,4.98,4.75,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Small Box,0.36,1/15/2009,Skye Norling,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),1/20/2009
951.0,6884.0,Low,47.0,296.13,0.04,Regular Air,119.09,6.35,1.02,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Wrap Bag,0.39,1/15/2009,Skye Norling,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",1/20/2009
956.0,6916.0,Low,40.0,436.17,0.08,Express Air,-141.27,10.9,7.46,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,Small Box,0.59,6/4/2010,Andrew Gjertsen,Crate-A-Files,6/8/2010
963.0,6980.0,Not Specified,18.0,136.29,0.05,Regular Air,-77.28,7.3,7.72,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0.38,2/18/2010,Ralph Knight,"Angle-D Binders with Locking Rings, Label Holders",2/19/2010
964.0,6982.0,Not Specified,32.0,1311.25,0.0,Express Air,407.44,39.48,1.99,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,Small Pack,0.54,11/16/2011,Dorothy Wardle,"80 Minute CD-R Spindle, 100/Pack - Staples",11/18/2011
965.0,6982.0,Not Specified,5.0,544.41,0.09,Delivery Truck,-338.27,100.98,57.38,Nunavut,Nunavut,Corporate,Furniture,Bookcases,Jumbo Box,0.78,11/16/2011,Dorothy Wardle,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",11/18/2011
966.0,6982.0,Not Specified,41.0,844.09,0.04,Regular Air,52.56,19.98,10.49,Nunavut,Nunavut,Corporate,Furniture,Office Furnishings,Small Box,0.49,11/16/2011,Dorothy Wardle,12-1/2 Diameter Round Wall Clock,11/18/2011
988.0,7110.0,Low,22.0,6396.2,0.02,Regular Air,1902.24,276.2,24.49,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Large Box,,8/7/2011,Grant Carroll,SAFCO Arco Folding Chair,8/11/2011
1017.0,7430.0,Medium,50.0,751.77,0.05,Regular Air,353.2,15.67,1.39,Nunavut,Nunavut,Corporate,Office Supplies,Envelopes,Small Box,0.38,6/8/2010,Barry Weirich,"#10 White Business Envelopes,4 1/8 x 9 1/2",6/9/2010
1073.0,7906.0,Medium,37.0,1003.06,0.03,Regular Air,271.78,25.98,5.37,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Medium Box,0.5,10/17/2009,Beth Paige,3M Office Air Cleaner,10/17/2009
1154.0,8391.0,High,4.0,1266.72,0.04,Delivery Truck,-268.36,300.98,64.73,Nunavut,Nunavut,Corporate,Furniture,Chairs & Chairmats,Jumbo Drum,0.56,8/28/2011,Sylvia Foulston,"Global Leather and Oak Executive Chair, Black",8/29/2011
1156.0,8419.0,Critical,19.0,368.04,0.07,Express Air,70.39,19.98,5.97,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Small Box,0.38,9/29/2011,Nicole Hansen,Xerox 1936,10/1/2011
1157.0,8419.0,Critical,24.0,152.6,0.1,Regular Air,-86.62,6.48,7.03,Nunavut,Nunavut,Small Business,Office Supplies,Paper,Small Box,0.37,9/29/2011,Nicole Hansen,Xerox 214,9/30/2011
1205.0,8833.0,Low,40.0,3338.98,0.0,Regular Air,-846.73,80.98,35.0,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,Large Box,0.81,5/4/2012,Nicole Hansen,Carina Double Wide Media Storage Towers in Natural & Black,5/8/2012
1226.0,8995.0,High,5.0,24.16,0.08,Express Air,8.05,1.88,1.49,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0.37,5/17/2011,Beth Paige,Staples General Use 3-Ring Binders,5/18/2011
1227.0,8995.0,High,41.0,270.84,0.1,Express Air,-78.02,6.48,5.86,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Small Box,0.36,5/17/2011,Beth Paige,Xerox 1904,5/18/2011
1228.0,8995.0,High,35.0,3389.93,0.08,Express Air,737.94,102.3,21.26,Northwest Territories,Northwest Territories,Consumer,Furniture,Office Furnishings,Large Box,0.59,5/17/2011,Beth Paige,Luxo Professional Combination Clamp-On Lamps,5/18/2011
1229.0,8995.0,High,42.0,266.36,0.07,Regular Air,-191.28,6.48,8.19,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Paper,Small Box,0.37,5/17/2011,Beth Paige,Xerox 217,5/18/2011
1230.0,8995.0,High,46.0,89.41,0.01,Regular Air,-21.49,1.89,0.76,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Rubber Bands,Wrap Bag,0.83,5/17/2011,Beth Paige,Revere Boxed Rubber Bands by Revere,5/19/2011
1258.0,9126.0,Medium,47.0,2799.7,0.04,Regular Air,884.08,62.05,3.99,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Appliances,Small Box,0.55,11/17/2009,Sylvia Foulston,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",11/18/2009
1259.0,9127.0,Not Specified,7.0,2039.56,0.04,Express Air,-329.49,279.48,35.0,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Large Box,0.8,10/10/2011,Bryan Davis,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",10/12/2011
1299.0,9509.0,Not Specified,36.0,12175.82,0.02,Delivery Truck,2825.15,320.98,58.95,Northwest Territories,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,0.57,10/7/2012,Joy Bell,Hon 4070 Series Pagoda Round Back Stacking Chairs,10/8/2012
1300.0,9509.0,Not Specified,5.0,101.21,0.1,Express Air,2.13,18.97,5.21,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Small Box,0.37,10/7/2012,Joy Bell,Xerox 1887,10/8/2012
1301.0,9509.0,Not Specified,32.0,1585.64,0.02,Regular Air,707.15,48.91,5.81,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Paper,Small Box,0.38,10/7/2012,Joy Bell,Xerox 1891,10/7/2012
1337.0,9763.0,Medium,44.0,176.26,0.07,Regular Air,75.13,4.13,0.5,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Labels,Small Box,0.39,8/13/2011,Alan Barnes,Avery 506,8/16/2011
1370.0,9927.0,High,32.0,4655.07,0.0,Delivery Truck,-270.63,140.98,53.48,Northwest Territories,Northwest Territories,Corporate,Furniture,Bookcases,Jumbo Box,0.65,8/16/2011,Grant Carroll,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",8/17/2011
1371.0,9927.0,High,44.0,10087.6,0.01,Regular Air,3387.35,218.08,18.06,Northwest Territories,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,Large Box,0.57,8/16/2011,Grant Carroll,"Lifetime Advantage Folding Chairs, 4/Carton",8/17/2011
1372.0,9927.0,High,34.0,1608.08,0.09,Express Air,-82.16,50.98,6.5,Northwest Territories,Northwest Territories,Corporate,Technology,Computer Peripherals,Small Box,0.73,8/16/2011,Grant Carroll,Microsoft Natural Multimedia Keyboard,8/17/2011
1380.0,10022.0,Low,1.0,12.18,0.06,Regular Air,-3.88,10.14,2.27,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,Wrap Bag,0.36,3/4/2009,Delfina Latchford,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",3/4/2009
1445.0,10437.0,Critical,50.0,820.52,0.01,Regular Air,-191.22,15.99,13.18,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0.37,8/18/2009,Don Jones,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",8/20/2009
1457.0,10499.0,Not Specified,29.0,6250.936,0.01,Delivery Truck,31.21,262.11,62.74,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,Jumbo Box,0.75,11/16/2010,Doug Bickford,Bevis Boat-Shaped Conference Table,11/17/2010
1462.0,10535.0,Low,25.0,854.88,0.09,Regular Air,-44.14,33.98,19.99,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,Small Box,0.55,5/27/2011,Doug Bickford,"Linden 12"" Wall Clock With Oak Frame",5/29/2011
1463.0,10535.0,Low,46.0,80.27,0.09,Regular Air,-0.79,1.76,0.7,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56,5/27/2011,Doug Bickford,Newell 326,6/3/2011
1495.0,10789.0,Not Specified,15.0,308.54,0.0,Express Air,76.42,19.84,4.1,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,0.44,8/23/2010,Jamie Kunitz,Prismacolor Color Pencil Set,8/24/2010
1496.0,10791.0,Not Specified,20.0,400.57,0.05,Regular Air,93.36,19.98,5.77,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Paper,Small Box,0.38,8/19/2011,Anthony Johnson,Xerox Blank Computer Paper,8/21/2011
1513.0,10945.0,Medium,14.0,1170.025,0.04,Regular Air,4.22,95.99,8.99,Northwest Territories,Northwest Territories,Consumer,Technology,Telephones and Communication,Small Box,0.57,1/3/2012,Ralph Knight,600 Series Flip,1/5/2012
1544.0,11137.0,High,48.0,5188.86,0.1,Regular Air,395.12,111.03,8.64,Northwest Territories,Northwest Territories,Small Business,Office Supplies,Storage & Organization,Small Box,0.78,11/29/2012,Allen Rosenblatt,Fellowes Recycled Storage Drawers,11/30/2012
1551.0,11202.0,Medium,8.0,339.81,0.05,Regular Air,79.59,43.41,2.99,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Binders and Binder Accessories,Small Box,0.39,3/17/2012,Barry Weirich,Satellite Sectional Post Binders,3/18/2012
1589.0,11456.0,Low,15.0,1519.9,0.09,Regular Air,399.37,105.34,24.49,Northwest Territories,Northwest Territories,Corporate,Furniture,Office Furnishings,Large Box,0.61,4/12/2010,Doug Bickford,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,4/19/2010
1590.0,11460.0,High,30.0,102.24,0.09,Regular Air,37.79,3.69,0.5,Northwest Territories,Northwest Territories,Home Office,Office Supplies,Labels,Small Box,0.38,8/24/2010,Carl Jackson,Avery 487,8/26/2010
1594.0,11495.0,High,6.0,965.69,0.0,Delivery Truck,-144.2,146.34,43.75,Northwest Territories,Northwest Territories,Corporate,Furniture,Tables,Jumbo Box,0.65,7/4/2011,Brendan Dodson,Bevis Round Conference Table Top & Single Column Base,7/5/2011
1654.0,11911.0,Critical,25.0,397.84,0.0,Regular Air,-14.75,15.22,9.73,Northwest Territories,Northwest Territories,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0.36,11/10/2010,Edward Hooks,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",11/12/2010
1655.0,11941.0,Critical,4.0,73.07,0.08,Regular Air,-41.01,15.7,11.25,Northwest Territories,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Small Box,0.6,6/24/2010,Jamie Kunitz,Hanging Personal Folder File,6/25/2010
